Time,0x180601fd_0_1
11-29-2022_14.59.08,19673
11-29-2022_14.59.08,19175
11-29-2022_14.59.08,19051
11-29-2022_14.59.08,19175
11-29-2022_14.59.09,18428
11-29-2022_14.59.09,18553
11-29-2022_14.59.09,19051
11-29-2022_14.59.09,18802
11-29-2022_14.59.09,19051
11-29-2022_14.59.09,19424
11-29-2022_14.59.09,18553
11-29-2022_14.59.09,18553
11-29-2022_14.59.09,19424
11-29-2022_14.59.10,18926
11-29-2022_14.59.10,18677
11-29-2022_14.59.10,19424
11-29-2022_14.59.10,18304
11-29-2022_14.59.10,18553
11-29-2022_14.59.10,19300
11-29-2022_14.59.10,19175
11-29-2022_14.59.10,18802
11-29-2022_14.59.10,19175
11-29-2022_14.59.11,19300
11-29-2022_14.59.11,18428
11-29-2022_14.59.11,18553
11-29-2022_14.59.11,18802
11-29-2022_14.59.11,18926
11-29-2022_14.59.11,19175
11-29-2022_14.59.11,18926
11-29-2022_14.59.11,18553
11-29-2022_14.59.11,18802
11-29-2022_14.59.12,19549
11-29-2022_14.59.12,18802
11-29-2022_14.59.12,18802
11-29-2022_14.59.12,19300
11-29-2022_14.59.12,18926
11-29-2022_14.59.12,18677
11-29-2022_14.59.12,19051
11-29-2022_14.59.12,19549
11-29-2022_14.59.12,18677
11-29-2022_14.59.12,18926
11-29-2022_14.59.13,19300
11-29-2022_14.59.13,18802
11-29-2022_14.59.13,18553
11-29-2022_14.59.13,19175
11-29-2022_14.59.13,19300
11-29-2022_14.59.13,18802
11-29-2022_14.59.13,18802
11-29-2022_14.59.13,19549
11-29-2022_14.59.13,18304
11-29-2022_14.59.13,18677
11-29-2022_14.59.14,18926
11-29-2022_14.59.14,18926
11-29-2022_14.59.14,18553
11-29-2022_14.59.14,18926
11-29-2022_14.59.14,19424
11-29-2022_14.59.14,18553
11-29-2022_14.59.14,18553
11-29-2022_14.59.14,19051
11-29-2022_14.59.14,18677
11-29-2022_14.59.14,18553
11-29-2022_14.59.15,19051
11-29-2022_14.59.15,18926
11-29-2022_14.59.15,18677
11-29-2022_14.59.15,18677
11-29-2022_14.59.15,19300
11-29-2022_14.59.15,18553
11-29-2022_14.59.15,19051
11-29-2022_14.59.15,19424
11-29-2022_14.59.15,19051
11-29-2022_14.59.15,18677
11-29-2022_14.59.16,18802
11-29-2022_14.59.16,19300
11-29-2022_14.59.16,18553
11-29-2022_14.59.16,19549
11-29-2022_14.59.16,19051
11-29-2022_14.59.16,18553
11-29-2022_14.59.16,18926
11-29-2022_14.59.16,19300
11-29-2022_14.59.16,18428
11-29-2022_14.59.17,18802
11-29-2022_14.59.17,19300
11-29-2022_14.59.17,18428
11-29-2022_14.59.17,19175
11-29-2022_14.59.17,19051
11-29-2022_14.59.17,18553
11-29-2022_14.59.17,19175
11-29-2022_14.59.17,19549
11-29-2022_14.59.17,18677
11-29-2022_14.59.18,18553
11-29-2022_14.59.18,19424
11-29-2022_14.59.18,18926
11-29-2022_14.59.18,19175
11-29-2022_14.59.18,19424
11-29-2022_14.59.18,18304
11-29-2022_14.59.18,18553
11-29-2022_14.59.18,19300
