Time,cycle_puissance
11-29-2022_14.58.40,316491.2548787939
11-29-2022_14.58.40,305436.5624317703
11-29-2022_14.58.40,305065.0366997917
11-29-2022_14.58.41,316877.6203874081
11-29-2022_14.58.41,295663.1020743221
11-29-2022_14.58.41,303344.9671933744
11-29-2022_14.58.41,318592.82341909007
11-29-2022_14.58.41,307174.06480493874
11-29-2022_14.58.41,307174.0833447811
11-29-2022_14.58.41,308886.7334485819
11-29-2022_14.58.41,314793.42466046877
11-29-2022_14.58.41,301236.4857116007
11-29-2022_14.58.41,305065.0366997917
11-29-2022_14.58.42,320671.501463931
11-29-2022_14.58.42,303344.9671933744
11-29-2022_14.58.42,307171.0317865867
11-29-2022_14.58.42,310990.2236005559
11-29-2022_14.58.42,313076.88583131414
11-29-2022_14.58.42,305439.6139899647
11-29-2022_14.58.42,309263.1935395158
11-29-2022_14.58.42,320671.501463931
11-29-2022_14.58.42,305436.543891928
11-29-2022_14.58.42,307545.0253737017
11-29-2022_14.58.43,316877.62076732295
11-29-2022_14.58.43,313073.83427311975
11-29-2022_14.58.43,301603.0585447818
11-29-2022_14.58.43,309263.19453545514
11-29-2022_14.58.43,318981.67707845196
11-29-2022_14.58.43,303348.00120766583
11-29-2022_14.58.43,307548.07792783546
11-29-2022_14.58.43,318978.6245243182
11-29-2022_14.58.43,305436.543891928
11-29-2022_14.58.43,305436.5624317703
11-29-2022_14.58.44,310987.1720423615
11-29-2022_14.58.44,316877.62076732295
11-29-2022_14.58.44,305436.543891928
11-29-2022_14.58.44,309263.19453545514
11-29-2022_14.58.44,314796.47759451735
11-29-2022_14.58.44,297401.0814799483
11-29-2022_14.58.44,301606.1110989156
11-29-2022_14.58.44,308883.6818903875
11-29-2022_14.58.44,310987.1720423615
11-29-2022_14.58.44,305436.5624317703
11-29-2022_14.58.45,311366.11852827406
11-29-2022_14.58.45,314793.4250403836
11-29-2022_14.58.45,299508.9782627247
11-29-2022_14.58.45,297401.10001979064
11-29-2022_14.58.45,312695.473837522
11-29-2022_14.58.45,308886.73444452125
11-29-2022_14.58.45,307174.08434072044
11-29-2022_14.58.45,313073.83427311975
11-29-2022_14.58.45,314793.42466046877
11-29-2022_14.58.45,301236.4857116007
11-29-2022_14.58.46,303344.9671933744
11-29-2022_14.58.46,314793.42466046877
11-29-2022_14.58.46,308883.6818903875
11-29-2022_14.58.46,303348.02074344753
11-29-2022_14.58.46,310990.22559243464
11-29-2022_14.58.46,312695.4744535465
11-29-2022_14.58.46,303348.0022036052
11-29-2022_14.58.46,305436.543891928
11-29-2022_14.58.46,314793.42466046877
11-29-2022_14.58.46,305065.0366997917
11-29-2022_14.58.47,307545.0253737017
11-29-2022_14.58.47,313073.83427311975
11-29-2022_14.58.47,310987.1720423615
11-29-2022_14.58.47,301606.11209485494
11-29-2022_14.58.47,303348.0022036052
11-29-2022_14.58.47,316880.6743173961
11-29-2022_14.58.47,305439.5974420011
11-29-2022_14.58.47,311366.1370681164
11-29-2022_14.58.47,318978.64306416054
11-29-2022_14.58.47,299508.9782627247
11-29-2022_14.58.47,301603.0585447818
11-29-2022_14.58.48,310987.1720423615
11-29-2022_14.58.48,307171.0128668295
11-29-2022_14.58.48,303348.0022036052
11-29-2022_14.58.48,311369.1906181895
11-29-2022_14.58.48,314796.4785904567
11-29-2022_14.58.48,301606.0935550126
11-29-2022_14.58.48,301603.0585447818
11-29-2022_14.58.48,314793.4250403836
11-29-2022_14.58.48,307171.0128668295
11-29-2022_14.58.48,307171.01324674435
11-29-2022_14.58.49,317264.0051956943
11-29-2022_14.58.49,314793.42466046877
11-29-2022_14.58.49,303348.00319954456
11-29-2022_14.58.49,303348.0217393869
11-29-2022_14.58.49,308886.7364364
11-29-2022_14.58.49,308886.7364364
11-29-2022_14.58.49,307545.0253737017
11-29-2022_14.58.49,315177.3244250937
11-29-2022_14.58.49,316877.62076732295
11-29-2022_14.58.49,303344.9486535321
11-29-2022_14.58.50,303344.9671933744
11-29-2022_14.58.50,313073.83427311975
11-29-2022_14.58.50,299512.0328087372
11-29-2022_14.58.50,307174.08633259917
11-29-2022_14.58.50,316880.69385317777
11-29-2022_14.58.50,307174.06779275683
11-29-2022_14.58.50,305436.543891928
11-29-2022_14.58.50,313073.8528129621
11-29-2022_14.58.50,314793.4250403836
11-29-2022_14.58.50,303344.9486535321
11-29-2022_14.58.51,305436.5624317703
11-29-2022_14.58.51,316877.62076732295
11-29-2022_14.58.51,313076.88881913223
11-29-2022_14.58.51,307174.06779275683
11-29-2022_14.58.51,309263.2150671762
11-29-2022_14.58.51,314796.4795863961
11-29-2022_14.58.51,303348.00319954456
11-29-2022_14.58.51,307171.0317865867
11-29-2022_14.58.51,318978.64306416054
11-29-2022_14.58.51,313073.83427311975
11-29-2022_14.58.52,301603.0585447818
11-29-2022_14.58.52,309260.1419813214
11-29-2022_14.58.52,316880.6763092748
11-29-2022_14.58.52,297401.0844677664
11-29-2022_14.58.52,309263.2160631156
11-29-2022_14.58.52,316880.6763092748
11-29-2022_14.58.52,305439.59943387983
11-29-2022_14.58.52,303344.9671933744
11-29-2022_14.58.52,310987.1720423615
11-29-2022_14.58.52,313073.83427311975
11-29-2022_14.58.53,303344.9486535321
11-29-2022_14.58.53,309260.1605211637
11-29-2022_14.58.53,314796.48058233544
11-29-2022_14.58.53,307548.0623758112
11-29-2022_14.58.53,301606.11408673367
11-29-2022_14.58.53,310990.22758431337
11-29-2022_14.58.53,305439.599053965
11-29-2022_14.58.53,295663.1016944073
11-29-2022_14.58.53,310987.1720423615
11-29-2022_14.58.53,314793.4250403836
11-29-2022_14.58.54,295303.9671835998
11-29-2022_14.58.54,307171.0317865867
11-29-2022_14.58.54,310990.22758431337
11-29-2022_14.58.54,308886.7370524245
11-29-2022_14.58.54,305439.61797372217
11-29-2022_14.58.54,310990.22758431337
11-29-2022_14.58.54,306800.07482166635
11-29-2022_14.58.54,301236.4857116007
11-29-2022_14.58.54,305065.055239634
11-29-2022_14.58.54,316491.2548787939
11-29-2022_14.58.55,299508.9782627247
11-29-2022_14.58.55,305065.055239634
11-29-2022_14.58.55,312695.47782127943
11-29-2022_14.58.55,310990.22858025273
11-29-2022_14.58.55,303348.0051914233
11-29-2022_14.58.55,315180.39950282726
11-29-2022_14.58.55,316880.67730521417
11-29-2022_14.58.55,305436.543891928
11-29-2022_14.58.55,303344.9671933744
11-29-2022_14.58.55,316877.62076732295
11-29-2022_14.58.56,310987.1720423615
11-29-2022_14.58.56,303344.9486535321
11-29-2022_14.58.56,310990.22858025273
11-29-2022_14.58.56,314796.48119836
11-29-2022_14.58.56,299512.0348006159
11-29-2022_14.58.56,305068.1117775252
11-29-2022_14.58.56,314796.4815782748
11-29-2022_14.58.56,303344.9486535321
11-29-2022_14.58.56,305436.5624317703
11-29-2022_14.58.56,307171.01324674435
11-29-2022_14.58.57,307171.01324674435
11-29-2022_14.58.57,303344.9486535321
11-29-2022_14.58.57,311369.1936060076
11-29-2022_14.58.57,320674.57654166454
11-29-2022_14.58.57,301606.0965428307
11-29-2022_14.58.57,307174.0883244779
11-29-2022_14.58.57,318981.69960205175
11-29-2022_14.58.57,309260.1419813214
11-29-2022_14.58.57,305436.543891928
11-29-2022_14.58.57,313073.8528129621
11-29-2022_14.58.58,316877.62076732295
11-29-2022_14.58.58,299508.9782627247
11-29-2022_14.58.58,305439.6199656009
11-29-2022_14.58.58,313076.8918069503
11-29-2022_14.58.58,307174.0704006601
11-29-2022_14.58.58,305439.60142575856
11-29-2022_14.58.58,311369.17606210464
11-29-2022_14.58.58,320671.501463931
