Time,sous_cycle_1
11-29-2022_14.58.43,8209.944250922259
11-29-2022_14.58.43,8460.172486633826
11-29-2022_14.58.43,8057.641832951442
11-29-2022_14.58.43,8165.7835252063305
11-29-2022_14.58.43,8460.172486633826
11-29-2022_14.58.43,8111.4955270864075
11-29-2022_14.58.43,8111.4955270864075
11-29-2022_14.58.44,8254.411242891732
11-29-2022_14.58.44,8406.076545111026
11-29-2022_14.58.44,8111.4955270864075
11-29-2022_14.58.44,8209.944250922259
11-29-2022_14.58.44,8352.413371120409
11-29-2022_14.58.44,7904.5225342542
11-29-2022_14.58.44,8012.791752089576
11-29-2022_14.58.44,8200.251282503223
11-29-2022_14.58.44,8254.411242891732
11-29-2022_14.58.44,8111.4955270864075
11-29-2022_14.58.45,8264.168230176474
11-29-2022_14.58.45,8352.413371120409
11-29-2022_14.58.45,7958.874551239831
11-29-2022_14.58.45,7904.5225342542
11-29-2022_14.58.45,8298.317429597608
11-29-2022_14.58.45,8200.251282503223
11-29-2022_14.58.45,8156.154063502077
11-29-2022_14.58.45,8308.137923597133
11-29-2022_14.58.45,8352.413371120409
11-29-2022_14.58.45,8003.3538348315205
11-29-2022_14.58.46,8057.641832951442
11-29-2022_14.58.46,8352.413371120409
11-29-2022_14.58.46,8200.251282503223
11-29-2022_14.58.46,8057.641832951442
11-29-2022_14.58.46,8254.411242891732
11-29-2022_14.58.46,8298.317429597608
11-29-2022_14.58.46,8057.641832951442
11-29-2022_14.58.46,8111.4955270864075
11-29-2022_14.58.46,8352.413371120409
11-29-2022_14.58.46,8101.930084247862
11-29-2022_14.58.47,8165.7835252063305
11-29-2022_14.58.47,8308.137923597133
11-29-2022_14.58.47,8254.411242891732
11-29-2022_14.58.47,8012.791752089576
11-29-2022_14.58.47,8057.641832951442
11-29-2022_14.58.47,8406.076545111026
11-29-2022_14.58.47,8111.4955270864075
11-29-2022_14.58.47,8264.168230176474
11-29-2022_14.58.47,8460.172486633826
11-29-2022_14.58.47,7958.874551239831
11-29-2022_14.58.47,8012.791752089576
11-29-2022_14.58.48,8254.411242891732
11-29-2022_14.58.48,8156.154063502077
11-29-2022_14.58.48,8057.641832951442
11-29-2022_14.58.48,8264.168230176474
11-29-2022_14.58.48,8352.413371120409
11-29-2022_14.58.48,8012.791752089576
11-29-2022_14.58.48,8012.791752089576
11-29-2022_14.58.48,8352.413371120409
11-29-2022_14.58.48,8156.154063502077
11-29-2022_14.58.48,8156.154063502077
11-29-2022_14.58.49,8416.024564691039
11-29-2022_14.58.49,8352.413371120409
11-29-2022_14.58.49,8057.641832951442
11-29-2022_14.58.49,8057.641832951442
11-29-2022_14.58.49,8200.251282503223
11-29-2022_14.58.49,8200.251282503223
11-29-2022_14.58.49,8165.7835252063305
11-29-2022_14.58.49,8362.297883985639
11-29-2022_14.58.49,8406.076545111026
11-29-2022_14.58.49,8057.641832951442
11-29-2022_14.58.50,8057.641832951442
11-29-2022_14.58.50,8308.137923597133
11-29-2022_14.58.50,7958.874551239831
11-29-2022_14.58.50,8156.154063502077
11-29-2022_14.58.50,8406.076545111026
11-29-2022_14.58.50,8156.154063502077
11-29-2022_14.58.50,8111.4955270864075
11-29-2022_14.58.50,8308.137923597133
11-29-2022_14.58.50,8352.413371120409
11-29-2022_14.58.50,8057.641832951442
11-29-2022_14.58.51,8111.4955270864075
11-29-2022_14.58.51,8406.076545111026
11-29-2022_14.58.51,8308.137923597133
11-29-2022_14.58.51,8156.154063502077
11-29-2022_14.58.51,8209.944250922259
11-29-2022_14.58.51,8352.413371120409
11-29-2022_14.58.51,8057.641832951442
11-29-2022_14.58.51,8156.154063502077
11-29-2022_14.58.51,8460.172486633826
11-29-2022_14.58.51,8308.137923597133
11-29-2022_14.58.52,8012.791752089576
11-29-2022_14.58.52,8209.944250922259
11-29-2022_14.58.52,8406.076545111026
11-29-2022_14.58.52,7904.5225342542
11-29-2022_14.58.52,8209.944250922259
11-29-2022_14.58.52,8406.076545111026
11-29-2022_14.58.52,8111.4955270864075
11-29-2022_14.58.52,8057.641832951442
11-29-2022_14.58.52,8254.411242891732
11-29-2022_14.58.52,8308.137923597133
11-29-2022_14.58.53,8057.641832951442
11-29-2022_14.58.53,8209.944250922259
11-29-2022_14.58.53,8352.413371120409
11-29-2022_14.58.53,8165.7835252063305
11-29-2022_14.58.53,8012.791752089576
11-29-2022_14.58.53,8254.411242891732
11-29-2022_14.58.53,8111.4955270864075
11-29-2022_14.58.53,7859.8522183672385
11-29-2022_14.58.53,8254.411242891732
11-29-2022_14.58.53,8352.413371120409
11-29-2022_14.58.54,7850.6053334044545
11-29-2022_14.58.54,8156.154063502077
11-29-2022_14.58.54,8254.411242891732
11-29-2022_14.58.54,8200.251282503223
11-29-2022_14.58.54,8111.4955270864075
11-29-2022_14.58.54,8254.411242891732
11-29-2022_14.58.54,8146.524601797824
11-29-2022_14.58.54,8003.3538348315205
11-29-2022_14.58.54,8101.930084247862
11-29-2022_14.58.54,8396.128525531014
11-29-2022_14.58.55,7958.874551239831
11-29-2022_14.58.55,8101.930084247862
11-29-2022_14.58.55,8298.317429597608
11-29-2022_14.58.55,8254.411242891732
11-29-2022_14.58.55,8057.641832951442
11-29-2022_14.58.55,8362.297883985639
11-29-2022_14.58.55,8406.076545111026
11-29-2022_14.58.55,8111.4955270864075
11-29-2022_14.58.55,8057.641832951442
11-29-2022_14.58.55,8406.076545111026
11-29-2022_14.58.56,8254.411242891732
11-29-2022_14.58.56,8057.641832951442
11-29-2022_14.58.56,8254.411242891732
11-29-2022_14.58.56,8352.413371120409
11-29-2022_14.58.56,7958.874551239831
11-29-2022_14.58.56,8101.930084247862
11-29-2022_14.58.56,8352.413371120409
11-29-2022_14.58.56,8057.641832951442
11-29-2022_14.58.56,8111.4955270864075
11-29-2022_14.58.56,8156.154063502077
11-29-2022_14.58.57,8156.154063502077
11-29-2022_14.58.57,8057.641832951442
11-29-2022_14.58.57,8264.168230176474
11-29-2022_14.58.57,8503.760115463943
11-29-2022_14.58.57,8012.791752089576
11-29-2022_14.58.57,8156.154063502077
11-29-2022_14.58.57,8460.172486633826
11-29-2022_14.58.57,8209.944250922259
11-29-2022_14.58.57,8111.4955270864075
11-29-2022_14.58.57,8308.137923597133
11-29-2022_14.58.58,8406.076545111026
11-29-2022_14.58.58,7958.874551239831
11-29-2022_14.58.58,8111.4955270864075
11-29-2022_14.58.58,8308.137923597133
11-29-2022_14.58.58,8156.154063502077
11-29-2022_14.58.58,8111.4955270864075
11-29-2022_14.58.58,8264.168230176474
11-29-2022_14.58.58,8503.760115463943
11-29-2022_14.58.58,8165.7835252063305
11-29-2022_14.58.58,8057.641832951442
11-29-2022_14.58.59,8406.076545111026
11-29-2022_14.58.59,8003.3538348315205
11-29-2022_14.58.59,8111.4955270864075
11-29-2022_14.58.59,8200.251282503223
11-29-2022_14.58.59,8156.154063502077
11-29-2022_14.58.59,8057.641832951442
11-29-2022_14.58.59,8460.172486633826
11-29-2022_14.58.59,8773.055217986897
11-29-2022_14.58.59,7760.574834333672
11-29-2022_14.58.59,7958.874551239831
11-29-2022_14.59.00,8254.411242891732
11-29-2022_14.59.00,8200.251282503223
11-29-2022_14.59.00,8665.423628053966
11-29-2022_14.59.00,10264.454078035567
11-29-2022_14.59.00,10596.213156055674
11-29-2022_14.59.00,10272.709438806274
11-29-2022_14.59.00,10634.283382963658
11-29-2022_14.59.00,10432.985534538686
11-29-2022_14.59.00,9861.04098830827
11-29-2022_14.59.00,10511.695449548688
11-29-2022_14.59.01,9399.47111236862
11-29-2022_14.59.01,8181.167002560367
11-29-2022_14.59.01,8052.618656672574
11-29-2022_14.59.01,8133.657321941551
11-29-2022_14.59.01,8268.102061436466
11-29-2022_14.59.01,7960.3848843196
11-29-2022_14.59.01,8258.40909301743
11-29-2022_14.59.01,8445.868623431079
11-29-2022_14.59.01,8140.191855602043
11-29-2022_14.59.01,7986.997782869653
11-29-2022_14.59.02,8219.637219341294
11-29-2022_14.59.02,8165.7835252063305
11-29-2022_14.59.02,7913.832925931767
11-29-2022_14.59.02,8254.411242891732
11-29-2022_14.59.02,8057.641832951442
11-29-2022_14.59.02,7958.874551239831
11-29-2022_14.59.02,8101.930084247862
11-29-2022_14.59.02,8200.251282503223
11-29-2022_14.59.02,7904.5225342542
11-29-2022_14.59.03,8057.641832951442
11-29-2022_14.59.03,8298.317429597608
11-29-2022_14.59.03,7796.253316418824
11-29-2022_14.59.03,7895.212142576634
11-29-2022_14.59.03,8146.524601797824
11-29-2022_14.59.03,7993.915917573463
11-29-2022_14.59.03,7949.500140696557
11-29-2022_14.59.03,8156.154063502077
11-29-2022_14.59.03,8190.558314084189
11-29-2022_14.59.03,7949.500140696557
11-29-2022_14.59.04,8003.3538348315205
11-29-2022_14.59.04,8298.317429597608
11-29-2022_14.59.04,8101.930084247862
11-29-2022_14.59.04,8048.139896827679
11-29-2022_14.59.04,8352.413371120409
11-29-2022_14.59.04,8298.317429597608
11-29-2022_14.59.04,7949.500140696557
11-29-2022_14.59.04,8003.3538348315205
11-29-2022_14.59.04,8200.251282503223
11-29-2022_14.59.04,8101.930084247862
11-29-2022_14.59.05,8048.139896827679
11-29-2022_14.59.05,8308.137923597133
11-29-2022_14.59.05,8101.930084247862
11-29-2022_14.59.05,8057.641832951442
11-29-2022_14.59.05,8298.317429597608
11-29-2022_14.59.05,7949.500140696557
11-29-2022_14.59.05,8003.3538348315205
11-29-2022_14.59.05,8156.154063502077
11-29-2022_14.59.05,8146.524601797824
11-29-2022_14.59.06,7949.500140696557
11-29-2022_14.59.06,7949.500140696557
11-29-2022_14.59.06,8244.65425560699
11-29-2022_14.59.06,7850.6053334044545
11-29-2022_14.59.06,8156.154063502077
11-29-2022_14.59.06,8298.317429597608
11-29-2022_14.59.06,8146.524601797824
11-29-2022_14.59.06,7949.500140696557
11-29-2022_14.59.06,8200.251282503223
11-29-2022_14.59.06,8298.317429597608
11-29-2022_14.59.07,7949.500140696557
11-29-2022_14.59.07,8209.944250922259
11-29-2022_14.59.07,8254.411242891732
11-29-2022_14.59.07,8156.154063502077
11-29-2022_14.59.07,8156.154063502077
11-29-2022_14.59.07,8352.413371120409
11-29-2022_14.59.07,9691.314171544664
11-29-2022_14.59.07,10646.973458599652
11-29-2022_14.59.07,7651.137400236866
11-29-2022_14.59.08,8140.191855602043
