Time,sous_cycle_1
11-29-2022_14.58.56,7994.8144559885795
11-29-2022_14.58.56,8190.049607376631
11-29-2022_14.58.56,8287.287589372323
11-29-2022_14.58.56,7896.8172865962215
11-29-2022_14.58.56,8038.75738110683
11-29-2022_14.58.56,8287.287589372323
11-29-2022_14.58.56,7994.8144559885795
11-29-2022_14.58.56,8048.248239880273
11-29-2022_14.58.56,8092.558562915383
11-29-2022_14.58.57,8092.558562915383
11-29-2022_14.58.57,7994.8144559885795
11-29-2022_14.58.57,8199.730517078022
11-29-2022_14.58.57,8437.454246643721
11-29-2022_14.58.57,7950.314082025523
11-29-2022_14.58.57,8092.558562915383
11-29-2022_14.58.57,8394.206481069406
11-29-2022_14.58.57,8145.929335269468
11-29-2022_14.58.57,8048.248239880273
11-29-2022_14.58.57,8243.357368193107
11-29-2022_14.58.58,8340.532338651192
11-29-2022_14.58.58,7896.8172865962215
11-29-2022_14.58.58,8048.248239880273
11-29-2022_14.58.58,8243.357368193107
11-29-2022_14.58.58,8092.558562915383
11-29-2022_14.58.58,8048.248239880273
11-29-2022_14.58.58,8199.730517078022
11-29-2022_14.58.58,8437.454246643721
11-29-2022_14.58.58,8102.112941383996
11-29-2022_14.58.58,7994.8144559885795
11-29-2022_14.58.59,8340.532338651192
11-29-2022_14.58.59,7940.949754484856
11-29-2022_14.58.59,8048.248239880273
11-29-2022_14.58.59,8136.311945263246
11-29-2022_14.58.59,8092.558562915383
11-29-2022_14.58.59,7994.8144559885795
11-29-2022_14.58.59,8394.206481069406
11-29-2022_14.58.59,8704.649590295377
11-29-2022_14.58.59,7700.06376041484
11-29-2022_14.58.59,7896.8172865962215
11-29-2022_14.59.00,8190.049607376631
11-29-2022_14.59.00,8136.311945263246
11-29-2022_14.59.00,8597.857229831072
11-29-2022_14.59.00,10184.419653690533
11-29-2022_14.59.00,10513.591926155397
11-29-2022_14.59.00,10192.610645422028
11-29-2022_14.59.00,10551.365310321225
11-29-2022_14.59.00,10351.637029775666
11-29-2022_14.59.00,9784.15207313149
11-29-2022_14.59.00,10429.733224592643
11-29-2022_14.59.01,9326.181168850242
11-29-2022_14.59.01,8117.3764700544425
11-29-2022_14.59.01,7989.830446626801
11-29-2022_14.59.01,8070.237233875265
11-29-2022_14.59.01,8203.633675306795
11-29-2022_14.59.01,7898.31584324466
11-29-2022_14.59.01,8194.016285300575
11-29-2022_14.59.01,8380.014148538297
11-29-2022_14.59.01,8076.7208162006045
11-29-2022_14.59.01,7924.721234605396
11-29-2022_14.59.02,8155.546725275689
11-29-2022_14.59.02,8102.112941383996
11-29-2022_14.59.02,7852.126861705217
11-29-2022_14.59.02,8190.049607376631
11-29-2022_14.59.02,7994.8144559885795
11-29-2022_14.59.02,7896.8172865962215
11-29-2022_14.59.02,8038.75738110683
11-29-2022_14.59.02,8136.311945263246
11-29-2022_14.59.02,7842.889065397329
11-29-2022_14.59.03,7994.8144559885795
11-29-2022_14.59.03,8233.613446954108
11-29-2022_14.59.03,7735.464048769135
11-29-2022_14.59.03,7833.651269089441
11-29-2022_14.59.03,8083.00418444677
11-29-2022_14.59.03,7931.585426944191
11-29-2022_14.59.03,7887.515970593164
11-29-2022_14.59.03,8092.558562915383
11-29-2022_14.59.03,8126.694555257025
11-29-2022_14.59.03,7887.515970593164
11-29-2022_14.59.04,7940.949754484856
11-29-2022_14.59.04,8233.613446954108
11-29-2022_14.59.04,8038.75738110683
