Time,sous_cycle_1,sous_cycle_2,sous_cycle_3,sous_cycle_4
11-29-2022_14.57.06,312946.50369322416,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.06,312946.50369322416,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.06,324778.8794647858,-9601.69165705498,0.15515720523307439,2.5426331822265147
11-29-2022_14.57.06,318861.6970210135,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.06,315038.0989316201,-9601.69165705498,0.13661736288397047,2.5426331822265147
11-29-2022_14.57.06,326865.54169554403,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.06,328580.1795640103,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.06,312946.50369322416,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.07,318861.6970210135,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.07,322675.38931281184,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.07,322675.38931281184,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.07,322675.38931281184,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.07,330273.0565036231,-9601.69165705498,0.15515720523307439,2.5436291215850053
11-29-2022_14.57.07,315038.0989316201,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.07,315038.0989316201,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.07,324778.8794647858,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.07,311204.59504463157,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.08,316772.56828643644,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.08,326865.54169554403,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.08,322675.38931281184,-9601.69165705498,0.15515720523307439,2.5436291215850053
11-29-2022_14.57.08,315038.0989316201,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.08,317146.56187355146,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.08,328580.1795640103,-9601.69165705498,0.15515720523307439,2.5436291215850053
11-29-2022_14.57.08,311204.59504463157,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.08,316772.56828643644,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.08,328580.1795640103,-9601.69165705498,0.15515720523307439,0.0
11-29-2022_14.57.08,318861.6970210135,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.09,316772.56828643644,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.09,322675.38931281184,-9601.69165705498,0.13661736288397047,0.0
11-29-2022_14.57.09,324394.9800800757,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.09,318861.6970210135,-9601.69165705498,0.13661736288397047,2.5436291215850053
11-29-2022_14.57.09,324394.9800800757,-9601.69165705498,0.15515720523307439,2.5436291215850053
