Time,0x180600fd_0b0,0x180601fd_4_5
11-15-2022_21.07.47,0,14265
11-15-2022_21.07.47,0,15300
11-15-2022_21.07.48,0,12611
11-15-2022_21.07.48,0,8955
11-15-2022_21.07.48,0,13537
11-15-2022_21.07.48,0,16038
11-15-2022_21.07.48,0,9663
11-15-2022_21.07.48,0,10549
11-15-2022_21.07.48,0,17870
11-15-2022_21.07.48,0,18030
11-15-2022_21.07.48,0,10838
11-15-2022_21.07.48,0,8049
11-15-2022_21.07.49,0,15161
11-15-2022_21.07.49,0,18986
11-15-2022_21.07.49,0,14205
11-15-2022_21.07.49,0,9673
11-15-2022_21.07.49,0,15231
11-15-2022_21.07.49,0,18398
11-15-2022_21.07.49,0,15181
11-15-2022_21.07.49,0,12382
11-15-2022_21.07.49,0,12541
11-15-2022_21.07.49,0,16914
11-15-2022_21.07.50,0,18667
11-15-2022_21.07.50,0,16904
11-15-2022_21.07.50,0,14474
11-15-2022_21.07.50,0,13747
11-15-2022_21.07.50,0,13557
11-15-2022_21.07.50,0,13517
11-15-2022_21.07.50,0,13557
11-15-2022_21.07.50,0,13508
11-15-2022_21.07.50,0,13478
11-15-2022_21.07.50,0,13607
11-15-2022_21.07.51,0,13567
11-15-2022_21.07.51,1,13478
11-15-2022_21.07.51,1,13567
11-15-2022_21.07.51,1,13547
11-15-2022_21.07.51,1,13547
11-15-2022_21.07.51,1,13567
11-15-2022_21.07.51,1,13537
11-15-2022_21.07.51,1,13547
11-15-2022_21.07.51,1,13557
11-15-2022_21.07.51,1,13517
11-15-2022_21.07.52,1,13537
11-15-2022_21.07.52,1,13577
11-15-2022_21.07.52,1,13557
11-15-2022_21.07.52,1,13557
11-15-2022_21.07.52,1,13547
11-15-2022_21.07.52,1,13557
11-15-2022_21.07.52,1,13557
11-15-2022_21.07.52,1,13567
11-15-2022_21.07.52,1,13577
11-15-2022_21.07.52,1,13517
11-15-2022_21.07.53,1,13567
11-15-2022_21.07.53,1,13557
11-15-2022_21.07.53,1,13577
11-15-2022_21.07.53,1,13547
11-15-2022_21.07.53,1,13547
11-15-2022_21.07.53,1,13557
11-15-2022_21.07.53,1,13557
11-15-2022_21.07.53,1,13537
11-15-2022_21.07.53,1,13488
11-15-2022_21.07.53,1,13567
11-15-2022_21.07.54,1,13468
11-15-2022_21.07.54,1,13597
11-15-2022_21.07.54,1,13567
11-15-2022_21.07.54,1,13577
11-15-2022_21.07.54,1,13547
11-15-2022_21.07.54,1,13547
11-15-2022_21.07.54,1,13557
11-15-2022_21.07.54,0,13567
11-15-2022_21.07.54,0,13567
11-15-2022_21.07.54,0,13537
11-15-2022_21.07.55,0,13567
11-15-2022_21.07.55,0,13547
11-15-2022_21.07.55,0,13537
11-15-2022_21.07.55,0,13547
11-15-2022_21.07.55,0,13577
11-15-2022_21.07.55,0,13498
11-15-2022_21.07.55,0,13587
11-15-2022_21.07.55,0,13527
11-15-2022_21.07.55,0,13577
11-15-2022_21.07.55,0,13597
11-15-2022_21.07.56,0,13537
11-15-2022_21.07.56,0,13607
11-15-2022_21.07.56,0,13547
11-15-2022_21.07.56,0,13537
11-15-2022_21.07.56,0,13547
11-15-2022_21.07.56,0,13547
11-15-2022_21.07.56,0,13527
11-15-2022_21.07.56,0,13557
11-15-2022_21.07.56,0,13508
11-15-2022_21.07.56,0,13597
11-15-2022_21.07.56,0,13557
11-15-2022_21.07.57,0,13587
11-15-2022_21.07.57,0,13547
11-15-2022_21.07.57,0,13547
11-15-2022_21.07.57,0,13537
11-15-2022_21.07.57,0,13537
11-15-2022_21.07.57,0,13547
11-15-2022_21.07.57,0,13557
11-15-2022_21.07.57,0,13537
11-15-2022_21.07.57,0,13547
11-15-2022_21.07.57,0,13587
11-15-2022_21.07.58,0,13508
11-15-2022_21.07.58,0,13537
11-15-2022_21.07.58,0,13567
11-15-2022_21.07.58,0,13508
11-15-2022_21.07.58,0,13508
11-15-2022_21.07.58,0,13537
11-15-2022_21.07.58,0,13498
11-15-2022_21.07.58,0,13557
11-15-2022_21.07.58,0,13527
11-15-2022_21.07.58,0,13438
11-15-2022_21.07.59,0,13149
11-15-2022_21.07.59,0,12501
11-15-2022_21.07.59,0,11356
11-15-2022_21.07.59,0,10659
11-15-2022_21.07.59,0,10021
11-15-2022_21.07.59,0,9483
11-15-2022_21.07.59,0,9264
11-15-2022_21.07.59,0,9344
11-15-2022_21.07.59,0,9314
11-15-2022_21.07.59,0,9264
11-15-2022_21.08.00,0,9344
11-15-2022_21.08.00,0,9324
11-15-2022_21.08.00,0,9304
11-15-2022_21.08.00,1,9304
11-15-2022_21.08.00,1,9304
11-15-2022_21.08.00,1,9294
11-15-2022_21.08.00,1,9324
11-15-2022_21.08.00,1,9324
11-15-2022_21.08.00,1,9304
11-15-2022_21.08.00,1,9294
11-15-2022_21.08.01,1,9314
11-15-2022_21.08.01,1,9314
11-15-2022_21.08.01,1,9294
11-15-2022_21.08.01,1,9284
11-15-2022_21.08.01,1,9314
11-15-2022_21.08.01,1,9314
11-15-2022_21.08.01,1,9294
11-15-2022_21.08.01,1,9314
11-15-2022_21.08.01,1,9334
11-15-2022_21.08.01,1,9324
11-15-2022_21.08.02,1,9284
11-15-2022_21.08.02,1,9294
11-15-2022_21.08.02,1,9304
11-15-2022_21.08.02,1,9314
11-15-2022_21.08.02,1,9324
11-15-2022_21.08.02,1,9314
11-15-2022_21.08.02,1,9304
11-15-2022_21.08.02,1,9334
11-15-2022_21.08.02,1,9274
11-15-2022_21.08.02,1,9314
11-15-2022_21.08.03,1,9324
11-15-2022_21.08.03,1,9304
11-15-2022_21.08.03,1,9294
11-15-2022_21.08.03,1,9344
11-15-2022_21.08.03,1,9344
11-15-2022_21.08.03,0,9274
11-15-2022_21.08.03,0,9324
11-15-2022_21.08.03,0,9304
11-15-2022_21.08.03,0,9294
11-15-2022_21.08.03,0,9334
11-15-2022_21.08.04,0,9284
11-15-2022_21.08.04,0,9334
11-15-2022_21.08.04,0,9254
11-15-2022_21.08.04,0,9314
11-15-2022_21.08.04,0,9324
11-15-2022_21.08.04,0,9264
11-15-2022_21.08.04,0,9344
11-15-2022_21.08.04,0,9304
11-15-2022_21.08.04,0,9304
11-15-2022_21.08.04,0,9284
11-15-2022_21.08.05,0,9344
11-15-2022_21.08.05,0,9264
11-15-2022_21.08.05,0,9314
11-15-2022_21.08.05,0,9264
11-15-2022_21.08.05,0,9304
11-15-2022_21.08.05,0,9324
11-15-2022_21.08.05,0,9324
11-15-2022_21.08.05,0,9294
11-15-2022_21.08.05,0,9304
11-15-2022_21.08.05,0,9304
11-15-2022_21.08.06,0,9294
11-15-2022_21.08.06,0,9314
11-15-2022_21.08.06,0,9244
11-15-2022_21.08.06,0,9304
11-15-2022_21.08.06,0,9304
11-15-2022_21.08.06,0,9294
